Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Eswaran, S., Rajakannu, M.","57193857384; 57193853670","Multiservice Load Balancing with Hybrid Particle Swarm Optimization in Cloud-Based Multimedia Storage System with QoS Provision",2017,"Mobile Networks and Applications",22,"4",,760,770,,3,10.1007/s11036-017-0840-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017121906&partnerID=40&md5=97de584ba2f1ff78826362c7ae0dddb6",Article,Final,,Scopus,2-s2.0-85017121906
"Hsu, W., Park, S., Kahn, C.E.","55841504400; 57200945351; 57001222100","Sensor, Signal, and Imaging Informatics",2017,"Yearbook of medical informatics",26,"1",,120,124,,,10.15265/IY-2017-019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042673590&partnerID=40&md5=b6197887e6f26b5124516d20efc53270",Review,Final,Open Access,Scopus,2-s2.0-85042673590
"Tang, X., Yu, W., Li, S.","36239463000; 56479633000; 57209052016","D<sup>3</sup>MOPSO: An Evolutionary Method for Metasearch Rank Aggregation Based on User Preferences",2017,"Jisuanji Yanjiu yu Fazhan/Computer Research and Development",54,"8",,1665,1681,,1,10.7544/issn1000-1239.2017.20170187,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031941482&partnerID=40&md5=581c10e76950b12fced1c867b3b26719",Article,Final,,Scopus,2-s2.0-85031941482
"Soares, A., Estevão, M.S., Marques, M.M.B., Kovalishyn, V., Latino, D.A.R.S., Aires-De-sousa, J., Ramos, J., Viveiros, M., Martins, F.","57193695603; 26323584500; 35497430500; 56160092400; 14046928700; 6603089025; 35307791000; 7003949212; 17342433200","Synthesis and biological evaluation of hybrid 1,5- and 2,5-disubstituted indoles as potentially new antitubercular agents",2017,"Medicinal Chemistry",13,"5",,439,447,,,10.2174/1573406413666170209144003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027337723&partnerID=40&md5=fbf092f1ae6765cb8d106dbd9b35f29d",Article,Final,,Scopus,2-s2.0-85027337723
"Ranaei, S., Suominen, A., Dedehayir, O.","56416462000; 37003266700; 24922826700","A topic model analysis of science and technology linkages: A case study in pharmaceutical industry",2017,"2017 IEEE Technology and Engineering Management Society Conference, TEMSCON 2017",,"", 7998353,49,54,,1,10.1109/TEMSCON.2017.7998353,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028575629&partnerID=40&md5=4097dcb0ee129b2744f3f0db2e49535c",Conference Paper,Final,,Scopus,2-s2.0-85028575629
"Ricklefs, H., Puschendorf, S., Bhamidipati, S., Eriksson, B., Pushparaja, A.","26531843400; 57196453975; 36766904900; 57190981034; 57196453482","From VFX project management to predictive forecasting",2017,"ACM SIGGRAPH 2017 Talks, SIGGRAPH 2017",,"", 3085036,,,,,10.1145/3084363.3085036,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033368999&partnerID=40&md5=9dee265656098e03aa9c71c70d8bee45",Conference Paper,Final,,Scopus,2-s2.0-85033368999
"Sun, J., Carlsson, L., Ahlberg, E., Norinder, U., Engkvist, O., Chen, H.","57193525980; 35304642400; 55507820200; 7003382744; 7004111889; 12646177100","Applying Mondrian Cross-Conformal Prediction to Estimate Prediction Confidence on Large Imbalanced Bioactivity Data Sets",2017,"Journal of Chemical Information and Modeling",57,"7",,1591,1598,,9,10.1021/acs.jcim.7b00159,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85025698990&partnerID=40&md5=d409206d022a4fb3f9579c6d0243ac51",Article,Final,,Scopus,2-s2.0-85025698990
"Zhang, Y., Zhang, Y.","25633341700; 57196207139","Research on evolution and visualization analysis of application of big data",2017,"ACM International Conference Proceeding Series",Part F131932,"",,126,130,,,10.1145/3134271.3134300,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038349134&partnerID=40&md5=75cc5dbde0560ac0eda6d161fbbd7d6a",Conference Paper,Final,,Scopus,2-s2.0-85038349134
"Wang, X., Mohd Ali, A., Angelov, P.","57196447151; 57195407771; 7003690831","Gender and age classification of human faces for automatic detection of anomalous human behaviour",2017,"2017 3rd IEEE International Conference on Cybernetics, CYBCONF 2017 - Proceedings",,"", 7985780,,,,2,10.1109/CYBConf.2017.7985780,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027846064&partnerID=40&md5=52778222f1a44e867c4a5bde3a3b1214",Conference Paper,Final,,Scopus,2-s2.0-85027846064
"Lee, C.-H., Hsu, C.-H., Tsai, C.-H.","35269100500; 57195558493; 57195555392","A data driven method to build learning models for correlation analysis of regional air quality",2017,"ACM International Conference Proceeding Series",Part F129682,"", 3092136,,,,,10.1145/3092090.3092136,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028753829&partnerID=40&md5=f1f44222c360c939b50c772828c2dde6",Conference Paper,Final,,Scopus,2-s2.0-85028753829
"Pantridge, E., Spector, L.","57191074110; 57203235028","PyshGP: PushGP in python",2017,"GECCO 2017 - Proceedings of the Genetic and Evolutionary Computation Conference Companion",,"",,1255,1262,,2,10.1145/3067695.3082468,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026876774&partnerID=40&md5=b2d169a7943e0bfefb783e2f66a11501",Conference Paper,Final,Open Access,Scopus,2-s2.0-85026876774
"Clevert, D.-A., Unterthiner, T., Povysil, G., Hochreiter, S.","56653669800; 37078167900; 57193500089; 6602873810","Rectified factor networks for biclustering of omics data",2017,"Bioinformatics",33,"14",,i59,i66,,2,10.1093/bioinformatics/btx226,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85024475743&partnerID=40&md5=7dfb6ceb553372d9099841225808c07d",Conference Paper,Final,Open Access,Scopus,2-s2.0-85024475743
"Pantridge, E., Helmuth, T., McPhee, N.F., Spector, L.","57191074110; 47861659900; 6505988948; 57203235028","On the difficulty of benchmarking inductive program synthesis methods",2017,"GECCO 2017 - Proceedings of the Genetic and Evolutionary Computation Conference Companion",,"",,1589,1596,,3,10.1145/3067695.3082533,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026888151&partnerID=40&md5=3fa06c0d34a7db7646ffa28a6428c303",Conference Paper,Final,Open Access,Scopus,2-s2.0-85026888151
"Akram, N., De Silva, S., Foti, M., Jayasinghe, M., Dayarathna, M., Vavalis, M., Perera, S.","57194828657; 57195325212; 56425639900; 57194827200; 23396290800; 55664963400; 16556359800","Real time data analytics platform for power grid smart applications",2017,"International Conference on the European Energy Market, EEM",,"", 7982012,,,,1,10.1109/EEM.2017.7982012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027194059&partnerID=40&md5=70ae0386e68b410b6fa0eb046af4c7b3",Conference Paper,Final,,Scopus,2-s2.0-85027194059
"Choo, H., Walther, D.B.","35764342400; 56921553200","Modeling the effect of stimulus perturbations on error correlations between brain and behavior",2017,"2017 International Workshop on Pattern Recognition in Neuroimaging, PRNI 2017",,"", 7981497,,,,1,10.1109/PRNI.2017.7981497,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028013352&partnerID=40&md5=074d65573b8b10555dd15afc6659e0a9",Conference Paper,Final,,Scopus,2-s2.0-85028013352
"Choudhury, P.D., Bora, A., Sarma, K.K.","57195568457; 56963703200; 35219168100","Big spectrum data and deep learning techniques for cognitive wireless networks",2017,"Deep Learning Innovations and Their Convergence With Big Data",,"",,33,60,,,10.4018/978-1-5225-3015-2.ch003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028889382&partnerID=40&md5=d5d39349354ac306c3b3014571cc6d0f",Book Chapter,Final,,Scopus,2-s2.0-85028889382
"Karthik, S., Paul, A., Karthikeyan, N.","7003799157; 56650522400; 56736071100","Deep learning innovations and their convergence with big data",2017,"Deep Learning Innovations and Their Convergence With Big Data",,"",,1,265,,1,10.4018/978-1-5225-3015-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028805518&partnerID=40&md5=c998ae3e8e1cb7fac89d960b057498d0",Book,Final,,Scopus,2-s2.0-85028805518
"Chen, J.-F., Chen, W.-L., Huang, C.-P., Huang, S.-H., Chen, A.-P.","57195363174; 57195360094; 57195361498; 8882763200; 21741959100","Financial time-series data analysis using deep convolutional neural networks",2017,"Proceedings - 2016 7th International Conference on Cloud Computing and Big Data, CCBD 2016",,"", 7979885,87,92,,16,10.1109/CCBD.2016.027,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027469207&partnerID=40&md5=71506c1e5ab40d57bf86d2846cc669b0",Conference Paper,Final,,Scopus,2-s2.0-85027469207
"Ormenisan, A.A., Downling, J.","57195337528; 57195332203","Dela-Sharing Large Datasets between Hadoop Clusters",2017,"Proceedings - International Conference on Distributed Computing Systems",,"", 7980225,2533,2536,,,10.1109/ICDCS.2017.199,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027245167&partnerID=40&md5=e7eff49b76482471bb985de51b111163",Conference Paper,Final,,Scopus,2-s2.0-85027245167
"Georgakopoulos, D., Yavari, A., Jayaraman, P.P., Ranjan, R.","22980683700; 57191954527; 24824284200; 57197711780","Towards a RISC Framework for Efficient Contextualisation in the IoT",2017,"Proceedings - International Conference on Distributed Computing Systems",,"", 7980140,1993,1996,,,10.1109/ICDCS.2017.308,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027244356&partnerID=40&md5=c2e4ef2d78307f54b2014f0f13cf6241",Conference Paper,Final,,Scopus,2-s2.0-85027244356
"Pilny, A.N., Poole, M.S.","54919352500; 7102423839","An introduction to computational social science for organizational communication",2017,"Transformative Practice and Research in Organizational Communication",,"",,184,199,,,10.4018/978-1-5225-2823-4.ch011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028710329&partnerID=40&md5=7220738d1dedade72d704fd7f24da94c",Book Chapter,Final,,Scopus,2-s2.0-85028710329
"Munevar, S.","6505971410","Unlocking Big Data for better health",2017,"Nature Biotechnology",35,"7",,684,686,,3,10.1038/nbt.3918,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85024402031&partnerID=40&md5=165ee37aff87a42cb4473ba5ba5bfa46",Short Survey,Final,Open Access,Scopus,2-s2.0-85024402031
"Li, F., Song, F.","57195154766; 7203075610","A real-Time machine learning and visualization framework for scientificworkflows",2017,"ACM International Conference Proceeding Series",Part F128771,"", a3,,,,,10.1145/3093338.3093380,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85025818435&partnerID=40&md5=10cdd08f8ab93b7be8e1bdd8db9b8dea",Conference Paper,Final,,Scopus,2-s2.0-85025818435
"Foss, G., McGovern, A., Potvin, C.K., Dahl, B., Abram, G., Bowen, A., Hulkoti, N., Kaul, A., Sehy, N.","57195152161; 6601980819; 14020255000; 57195150096; 6602319074; 55659717800; 57195149291; 57195150270; 57195153375","Spot the difference",2017,"ACM International Conference Proceeding Series",Part F128771,"", a76,,,,,10.1145/3093338.3104163,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85025819859&partnerID=40&md5=77788ca3586aed068dcd8a09f7073ea4",Conference Paper,Final,,Scopus,2-s2.0-85025819859
"Zong, S., Kveton, B., Berkovsky, S., Ashkan, A., Wen, Z.","57195285384; 55837807300; 8945336100; 24437618100; 24451503700","Get to the bottom: Causal analysis for user modeling",2017,"UMAP 2017 - Proceedings of the 25th Conference on User Modeling, Adaptation and Personalization",,"",,256,264,,1,10.1145/3079628.3079688,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026759717&partnerID=40&md5=b80921d057ae8bc7c02001d2b011bc4c",Conference Paper,Final,,Scopus,2-s2.0-85026759717
"Pentel, A.","56904272800","Predicting age and gender by keystroke dynamics and mouse patterns",2017,"UMAP 2017 - Adjunct Publication of the 25th Conference on User Modeling, Adaptation and Personalization",,"",,381,385,,6,10.1145/3099023.3099105,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026753286&partnerID=40&md5=6e9d94434df763c13739bf2bd8b2c9c7",Conference Paper,Final,,Scopus,2-s2.0-85026753286
"Chiru, C.-G., Dimcica, T., Caciandone, S.","25651346000; 57195371778; 57191054100","Expression of Political Opinions in Press",2017,"Proceedings - 2017 21st International Conference on Control Systems and Computer, CSCS 2017",,"", 7968560,182,189,,,10.1109/CSCS.2017.32,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027528497&partnerID=40&md5=d51616c54e0a7ec77ad7d4858640d50b",Conference Paper,Final,,Scopus,2-s2.0-85027528497
"West, J.","36997571100","Validating curriculum development using text mining",2017,"Curriculum Journal",28,"3",,389,402,,,10.1080/09585176.2016.1261719,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84999836187&partnerID=40&md5=600397dc0ca6f1bcf333351903c05ae7",Article,Final,,Scopus,2-s2.0-84999836187
"Radwan, A.M., Birkan, B., Hania, F., Cataltepe, Z.","57190605420; 55580174600; 57190608943; 15838776900","Active machine learning framework for teaching object recognition skills to children with autism",2017,"International Journal of Developmental Disabilities",63,"3",,158,169,,,10.1080/20473869.2016.1190543,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84981485896&partnerID=40&md5=46e83822ad334d0060ae360999ef7508",Article,Final,,Scopus,2-s2.0-84981485896
"Laczny, C.C., Kiefer, C., Galata, V., Fehlmann, T., Backes, C., Keller, A.","55005106000; 57194832267; 56358642600; 57113623400; 8695481800; 7401738815","BusyBee Web: Metagenomic data analysis by bootstrapped supervised binning and annotation",2017,"Nucleic Acids Research",45,"W1",,W171,W179,,9,10.1093/nar/gkx348,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85023165165&partnerID=40&md5=9efb2fa6799d1e3b62f17c422ebe80c0",Article,Final,Open Access,Scopus,2-s2.0-85023165165
"Li, M.","7405265144","An exploration to visualise the emerging trends of technology foresight based on an improved technique of co-word analysis and relevant literature data of WOS",2017,"Technology Analysis and Strategic Management",29,"6",,655,671,,3,10.1080/09537325.2016.1220518,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84983287309&partnerID=40&md5=ddacd8ff9ae613a657803d6639adef78",Article,Final,,Scopus,2-s2.0-84983287309
"Fährrolfes, R., Bietz, S., Flachsenberg, F., Meyder, A., Nittinger, E., Otto, T., Volkamer, A., Rarey, M.","57191965941; 37096760600; 57076808700; 57076849500; 56610251200; 57194568613; 36648069100; 6701461913","Proteins Plus: A web portal for structure analysis of macromolecules",2017,"Nucleic Acids Research",45,"W1",,W337,W343,,15,10.1093/nar/gkx333,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85023176527&partnerID=40&md5=d22504573cb3dce5391811244f52d121",Article,Final,Open Access,Scopus,2-s2.0-85023176527
"Concolato, C.E., Chen, L.M.","57192235986; 55574215978","Data Science: A New Paradigm in the Age of Big-Data Science and Analytics",2017,"New Mathematics and Natural Computation",13,"2",,119,143,,2,10.1142/S1793005717400038,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021817099&partnerID=40&md5=528eb6eae227cf68b2557dd938506351",Article,Final,,Scopus,2-s2.0-85021817099
"Xin, J., Wang, Z., Tian, S., Wang, Z.","23399268700; 57188834259; 57188828625; 25522764100","NMR image segmentation based on Unsupervised Extreme Learning Machine",2017,"Multidimensional Systems and Signal Processing",28,"3",,1013,1030,,,10.1007/s11045-016-0411-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963641626&partnerID=40&md5=b580946ff7c022495f12c29088f0bc89",Article,Final,,Scopus,2-s2.0-84963641626
"Bronstein, M.M., Bruna, J., Lecun, Y., Szlam, A., Vandergheynst, P.","7005532788; 50461069300; 55666793600; 11539079600; 7004114381","Geometric Deep Learning: Going beyond Euclidean data",2017,"IEEE Signal Processing Magazine",34,"4", 7974879,18,42,,188,10.1109/MSP.2017.2693418,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032751403&partnerID=40&md5=6afbf56d86ec96de0314f6212294ef31",Review,Final,,Scopus,2-s2.0-85032751403
"Wei, J., Liu, H., Yan, G., Sun, F.","56927212300; 35272617500; 7202089903; 55555423500","Robotic grasping recognition using multi-modal deep extreme learning machine",2017,"Multidimensional Systems and Signal Processing",28,"3",,817,833,,5,10.1007/s11045-016-0389-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84960117078&partnerID=40&md5=1895a61156fb1cc30d201e6f94c1d42f",Article,Final,,Scopus,2-s2.0-84960117078
"Cai, Z., Ge, S.","56621923200; 7201714396","Machine learning algorithms improve the power of phytolith analysis: A case study of the tribe Oryzeae (Poaceae)",2017,"Journal of Systematics and Evolution",55,"4",,377,384,,4,10.1111/jse.12258,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85024499839&partnerID=40&md5=735711eb3c0d0b2862f82bd05947a04e",Article,Final,Open Access,Scopus,2-s2.0-85024499839
"Chang, H.-Y., Wu, Y.-F., Lin, T.-L., Chang, W.-K., Hsu, S.-C.","55567909000; 57191229727; 35242705000; 57191512886; 57210571418","A weight-based data pre-processing mechanism for improving the accuracy of the massive traffic flow prediction",2017,"Proceedings - 2017 5th International Conference on Applied Computing and Information Technology, 2017 4th International Conference on Computational Science/Intelligence and Applied Informatics and 2017 1st International Conference on Big Data, Cloud Computing, Data Science and Engineering, ACIT-CSII-BCD 2017",,"", 8787043,272,277,,,10.1109/ACIT-CSII-BCD.2017.42,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071006317&partnerID=40&md5=87bd80a8ae0f5e104424e88d5908e7c9",Conference Paper,Final,,Scopus,2-s2.0-85071006317
"Chiu, M.-C., Ko, L.-W.","36159384200; 57203073842","Develop a personalized intelligent music selection system based on heart rate variability and machine learning",2017,"Multimedia Tools and Applications",76,"14",,15607,15639,,2,10.1007/s11042-016-3860-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84987660628&partnerID=40&md5=340d1d6eebe114d501d551c232ec0570",Article,Final,,Scopus,2-s2.0-84987660628
